"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",6,1,24,36,1,40,23,29,8,46,15,37,20,32,30,21,5,37,5,46,32,4,37,16,46,2,44,47,16,41,15,5,21,15,3,17,31,2,25,34,32,49,30,44,1,38,42,30,47,20,30,18,25,50,3,6,40,49,38,8,18,42,19,43,30,50,48,16,9,20,1,50,35,40,44,49,29,37,50,10,15,29,13,36,21,48,29,24,7,44,33,1,9,9,13,23,40,33,35,21
"2",0,4,15,88,63,65,32,2,60,0,78,20,19,0,26,73,56,0,74,46,57,14,96,54,0,2,0,2,18,34,37,84,0,81,91,23,74,5,4,62,87,0,73,90,0,52,0,0,75,19,83,75,0,71,0,0,26,64,0,5,20,3,9,51,0,9,93,99,34,0,79,14,70,80,97,0,51,0,99,52,0,38,40,47,29,55,80,0,66,84,0,74,76,68,26,0,0,5,88,45
"3",0,31,0,67,0,71,6,74,44,65,0,13,1,97,74,41,98,50,69,0,0,7,0,39,81,19,0,0,91,0,64,81,89,61,33,0,0,8,0,99,5,93,0,57,79,84,6,0,0,10,43,59,76,88,0,12,0,70,83,40,0,0,0,89,45,85,0,2,0,0,74,68,88,90,22,37,0,23,100,5,5,98,8,0,29,0,0,50,28,0,29,47,0,0,7,38,58,79,98,87
"4",0,0,34,83,37,12,0,78,69,68,83,95,48,83,4,81,16,0,0,47,0,35,44,0,7,28,12,0,0,0,47,14,37,83,40,100,49,0,81,97,42,85,8,40,100,0,0,0,0,72,0,13,7,93,37,17,0,55,17,7,0,2,59,23,47,0,100,51,72,0,47,56,92,86,0,29,0,0,0,93,1,100,91,0,84,49,2,82,26,90,78,74,27,25,47,40,0,38,0,4
"5",0,0,0,58,0,5,20,62,18,19,44,0,56,36,0,86,0,8,6,91,8,0,79,97,11,73,0,27,0,44,60,50,4,15,54,100,0,35,31,44,0,0,80,43,31,54,17,21,44,66,75,0,30,28,0,22,56,0,63,19,68,33,70,16,10,23,17,52,54,5,70,52,48,83,16,36,0,87,0,54,83,0,0,65,62,1,31,0,93,2,90,5,64,0,0,73,50,7,9,1
"6",0,0,0,0,0,58,0,49,7,83,14,2,0,70,44,53,90,0,63,89,46,69,55,31,11,28,0,0,29,21,86,66,9,73,0,77,88,23,0,14,82,33,0,37,39,26,86,23,28,70,0,34,30,60,70,41,12,10,49,32,77,20,0,52,0,7,92,15,39,21,90,5,70,92,96,0,17,3,0,31,48,56,95,0,0,77,0,0,0,54,0,74,29,75,38,0,0,85,62,0
"7",0,0,0,0,0,3,22,50,25,72,70,100,6,74,49,82,81,0,44,65,60,91,58,0,12,4,86,66,22,29,94,96,41,23,0,63,56,40,47,28,23,44,0,89,23,46,83,50,27,71,0,15,0,40,88,74,5,6,42,52,9,24,77,96,1,81,1,52,0,40,89,77,70,30,23,14,0,5,96,37,28,42,0,0,7,73,5,37,0,50,0,68,76,20,73,0,86,15,0,14
"8",0,0,0,0,0,0,7,49,40,72,71,50,0,72,21,34,0,27,59,89,20,22,24,50,66,0,76,0,19,100,93,0,25,2,27,47,52,91,46,47,0,26,0,54,100,16,10,37,94,95,0,0,67,9,36,77,97,0,76,31,0,90,28,50,68,70,10,21,43,33,20,65,49,84,0,29,4,65,12,46,38,44,36,19,0,89,60,29,0,59,32,0,0,1,0,39,33,0,0,13
"9",0,0,0,0,0,0,0,80,78,59,78,52,64,35,10,23,0,29,64,12,0,75,23,56,68,6,84,66,0,0,75,0,83,34,79,50,51,84,98,27,90,67,18,54,49,19,79,0,49,75,0,47,62,72,40,31,0,26,0,0,72,17,10,31,58,67,90,82,14,39,0,26,26,0,0,0,0,14,98,44,36,0,22,89,66,77,67,0,63,2,0,25,68,0,39,53,62,7,25,26
"10",0,0,0,0,0,0,0,0,63,23,79,0,0,21,0,44,10,0,0,8,88,56,43,15,57,49,31,60,0,42,87,41,0,0,24,0,57,0,2,32,47,56,28,24,0,12,14,40,0,69,86,0,64,97,0,0,88,54,64,40,0,12,47,0,100,5,87,91,75,50,49,26,0,99,39,28,94,0,0,0,0,0,0,0,0,0,91,27,0,56,0,56,100,0,52,11,71,0,0,29
"11",0,0,0,0,0,0,0,0,0,65,62,46,0,12,0,0,16,0,0,53,52,0,42,97,0,0,52,98,13,0,0,54,18,45,96,96,0,93,72,0,0,0,17,51,55,79,86,2,0,28,0,35,0,72,4,16,0,47,46,40,81,12,36,1,95,59,75,12,44,77,32,24,72,40,0,67,53,32,0,22,97,40,2,81,8,64,39,34,85,47,0,0,0,71,34,77,99,26,11,33
"12",0,0,0,0,0,0,0,0,0,0,50,2,63,0,0,66,90,47,22,57,48,43,10,0,51,48,3,64,0,86,0,0,88,46,49,68,33,74,79,0,50,99,43,59,0,50,0,8,96,0,74,90,9,20,31,85,0,66,43,0,60,96,30,0,0,18,36,21,15,0,59,9,74,0,71,8,43,97,3,35,71,95,75,0,41,81,49,67,83,0,19,46,30,0,20,14,100,78,17,0
"13",0,0,0,0,0,0,0,0,0,0,0,21,90,0,0,37,0,0,64,70,20,88,96,99,0,6,32,78,0,0,90,12,99,100,49,65,0,42,31,74,0,0,98,0,81,19,1,43,92,98,0,56,0,58,67,90,59,0,85,2,61,18,61,65,0,30,56,0,30,47,28,91,85,86,0,89,32,16,0,0,7,88,75,64,22,90,96,41,32,3,74,0,0,6,4,85,69,87,71,90
"14",0,0,0,0,0,0,0,0,0,0,0,0,18,89,62,6,87,75,0,0,78,52,41,22,25,96,55,61,20,68,0,1,52,95,42,22,0,0,0,0,55,33,46,92,28,0,0,0,35,20,98,48,15,85,76,1,92,36,51,0,95,79,29,75,0,0,0,0,0,39,0,62,79,15,98,89,0,0,81,41,17,66,0,10,26,0,31,0,72,5,71,71,99,50,92,47,95,21,22,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,64,40,77,16,0,53,43,0,59,64,31,0,0,33,26,74,85,72,89,0,0,45,83,0,0,16,16,0,21,11,68,0,15,0,68,31,0,83,19,13,77,38,83,71,0,67,42,0,52,48,28,66,53,88,94,25,18,43,65,67,19,0,10,0,4,85,60,92,94,0,29,43,76,76,48,78,64,97,36,0,24,99,51,65,100,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,24,21,0,19,28,4,35,25,8,92,8,17,85,17,91,0,89,0,7,0,0,0,5,10,42,94,0,91,44,0,57,0,25,0,0,87,61,90,0,84,0,8,0,56,32,27,67,0,83,56,16,10,35,0,40,49,62,50,41,92,3,48,51,74,32,61,70,14,0,0,0,50,0,46,44,0,39,74,94,0,51,57,82,38
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,23,1,0,93,89,0,23,0,31,61,81,0,97,85,84,22,10,0,64,90,6,48,44,92,17,0,58,54,13,30,0,5,28,77,27,69,0,11,90,41,87,0,0,99,10,72,48,72,77,73,11,0,0,70,18,0,20,32,70,0,43,98,53,100,45,0,64,56,97,76,0,69,0,0,65,50,0,38,37,73,33
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,84,0,24,0,37,96,0,0,0,97,4,15,0,0,30,0,99,33,58,27,0,0,63,72,0,12,0,47,86,59,47,65,53,80,83,0,49,56,55,0,0,81,51,77,39,4,25,47,10,52,85,83,32,36,38,30,53,18,66,90,76,81,15,0,0,31,0,0,90,6,49,0,62,36,0,42,52,2,81,88,0,47,56
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,66,36,38,0,31,62,0,52,29,3,46,80,32,53,0,36,7,67,0,93,48,3,0,62,2,49,44,4,0,47,34,0,36,19,59,0,0,84,62,89,0,88,0,27,65,40,78,13,76,86,15,66,21,0,0,48,88,47,0,96,0,12,68,76,82,91,76,68,0,10,64,58,0,93,0,16,0,17,0,56,51
